"IDCAL";"FOODNAME";"CALORIE";"PROTEIN";"FATS";"CARBHDRT";"CALCIUM";"PHOSPHOR";"IRON";"VITA";"VITB1";"VITC";"amount";"FWEIGHT";"added";"ISACTIVE"
1;"Arrowroot";102.0;1.0;0.2;24.1;28.0;35.0;1.7;0.0;0.06;2.0;100.0;100;"admin";1
2;"Belitung";145.0;1.2;0.4;34.2;26.0;54.0;1.4;0.0;0.1;2.0;85.0;100;"admin";1
3;"Belitung kukus";145.0;1.2;0.4;34.2;21.0;48.0;0.9;0.0;0.08;1.2;100.0;100;"admin";1
4;"Beras benir";339.0;7.7;4.4;73.0;22.0;272.0;3.0;0.0;0.55;0.0;100.0;100;"admin";1
5;"Beras giling";360.0;6.8;0.7;78.9;6.0;140.0;1.0;0.0;0.12;0.0;100.0;100;"admin";1
6;"Beras giling pelita I/1";366.0;7.6;1.0;78.9;59.0;258.0;0.8;0.0;0.26;0.0;100.0;100;"admin";1
7;"Beras giling pelita II/1";396.0;9.5;1.4;77.1;68.0;171.0;1.4;0.0;0.26;0.0;100.0;100;"admin";1
8;"Beras jagung";345.0;9.1;2.0;76.5;14.0;311.0;3.7;0.0;0.17;0.0;100.0;100;"admin";1
9;"Beras ketan hitam";356.0;7.0;0.7;78.0;10.0;148.0;1.0;0.0;0.2;0.0;100.0;100;"admin";1
10;"Beras ketan hitam kukus";181.0;4.0;1.2;37.3;9.0;144.0;1.7;0.0;0.06;0.0;100.0;100;"admin";1
11;"Beras ketan hitam tumbuk";360.0;8.0;2.3;74.5;10.0;347.0;6.2;0.0;0.24;0.0;100.0;100;"admin";1
12;"Beras ketan putih";362.0;6.7;0.7;79.4;12.0;148.0;1.0;0.0;0.16;0.0;100.0;100;"admin";1
13;"Beras ketan putih kukus";163.0;3.0;0.4;35.7;4.0;55.0;0.7;0.0;0.07;0.0;100.0;100;"admin";1
14;"Beras ketan putih tumbuk";361.0;7.4;0.8;78.4;13.0;157.0;3.4;0.0;0.28;0.0;100.0;100;"admin";1
